Zip Code,Total Population,Median Age,Average Household Size,Total Males,Total Females,Total Households
91371,1,73.5,1,0,1,1
90001,57110,26.6,4.4,28468,28642,12971
90002,51223,25.5,4.36,24876,26347,11731
90003,66266,26.3,4.22,32631,33635,15642
90004,62180,34.8,2.73,31302,30878,22547
90005,37681,33.9,2.5,19299,18382,15044
90006,59185,32.4,3.13,30254,28931,18617
90007,40920,24,3,20915,20005,11944
90008,32327,39.7,2.33,14477,17850,13841
90010,3800,37.8,1.87,1874,1926,2014
90011,103892,26.2,4.67,52794,51098,22168
90012,31103,36.3,2.12,19493,11610,10327
90013,11772,44.6,1.26,7629,4143,6416
90014,0,44.8,1.34,4471,2534,4109
90015,18986,31.3,2.45,9833,9153,7420
90016,47596,33.9,2.93,22778,24818,16145
90017,23768,29.4,2.53,12818,10950,9338
90018,49310,33.2,3.12,23770,25540,15493
90019,64458,35.8,2.7,31442,33016,23344
90020,38967,34.6,2.35,19381,19586,16514
90021,3951,44.3,1.57,2790,1161,1561
90022,67179,29.8,3.94,33216,33963,17023
90023,45903,28.4,4.26,23037,22866,10727
90024,47452,23.6,2.03,22248,25204,17903
90025,42147,34.7,1.97,20859,21288,21228
90026,67869,34,2.68,34515,33354,24956
90027,45151,38.3,1.99,22362,22789,21929
90028,28714,34,1.78,16056,12658,14964
90029,38617,34.6,2.7,19575,19042,13883
90031,39316,33.5,3.49,19546,19770,11156
90032,45786,32.4,3.52,22564,23222,12765
90033,48852,29.2,3.66,24425,24427,12924
90034,57964,32.8,2.23,28828,29136,25592
90035,28418,37.5,2.19,13326,15092,12814
90036,36865,33.9,1.96,17914,18951,18646
90037,62276,28.8,3.85,31187,31089,15869
90038,28917,33.1,2.41,15383,13534,11928
90039,28514,38.8,2.47,14383,14131,11436
90040,12520,31.2,3.75,6129,6391,3317
90041,27425,39,2.71,13212,14213,9513
90042,62430,33.6,3.11,30836,31594,19892
90043,44789,38.7,2.76,20561,24228,16075
90044,89779,28.6,3.55,43128,46651,25144
90045,39480,35.6,2.37,18958,20522,15224
90046,48581,38.5,1.69,25854,22727,28534
90047,48606,36.2,2.99,22129,26477,16168
90048,21397,39.2,1.77,10132,11265,11821
90049,35482,41.3,2.09,16359,19123,16657
90056,7827,48.4,2.32,3436,4391,3371
90057,44998,31.2,2.81,24300,20698,15658
90058,3223,26,3.6,1555,1668,892
90059,40952,25.7,4.19,19623,21329,9596
90061,26872,28.4,3.85,13049,13823,6892
90062,32821,31.8,3.55,15720,17101,9155
90063,55758,29,4.19,27843,27915,13260
90064,25403,40,2.29,12297,13106,10968
90065,45527,36.1,3.12,22873,22654,14476
90066,55277,37.3,2.29,27714,27563,23985
90067,2424,65.3,1.61,1074,1350,1510
90068,22286,39.4,1.8,12018,10268,12326
90069,20483,41.5,1.53,12153,8330,13364
90071,15,45.5,0,13,2,0
90073,539,56.9,1.25,506,33,4
90077,9377,47.9,2.57,4594,4783,3615
90079,0,0,0,0,0,0
90089,3217,19.3,1.94,1436,1781,31
90090,0,0,0,0,0,0
90094,5464,33.7,1.85,2559,2905,2949
90095,3,52.5,1.5,2,1,2
