User ID,Gender,Age,EstimatedSalary,Purchased,ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
15694829,Female,32,150000,1,734881,936,108766,30-34,F,31,4259,1,1.570000052,1,1
15663939,Female,31,118000,1,734903,936,108770,30-34,F,64,5323,1,1.289999962,1,1
15675949,Female,33,149000,1,738006,936,109717,30-34,F,27,34740,7,13.41000009,1,1
15598840,Female,32,135000,1,747790,936,110932,30-34,F,10,2077,0,0,1,1
15694288,Female,32,117000,1,734854,936,108762,30-34,F,27,57022,13,20.29000032,3,3
15727696,Male,30,135000,1,708746,916,103916,30-34,M,15,7350,1,1.429999948,2,1
15583681,Male,32,120000,1,708818,916,103928,30-34,M,28,4133,1,1.289999962,1,1
15651983,Male,34,112000,1,708820,916,103929,30-34,M,29,1915,0,0,1,1
15687491,Male,30,107000,1,708895,916,103941,30-34,M,16,10951,1,1.269999981,1,1
15744279,Male,32,100000,1,709059,916,103968,30-34,M,20,14669,7,10.28000021,1,1
15704987,Male,32,18000,0,708749,916,103917,30-34,M,16,17861,2,1.820000023,2,0
15669656,Male,31,18000,0,708771,916,103920,30-34,M,20,693,0,0,1,0
15581198,Male,31,74000,0,708815,916,103928,30-34,M,28,4259,1,1.25,1,0
15689425,Male,30,49000,0,708889,916,103940,30-34,M,15,15615,3,4.769999981,1,0
15792008,Male,30,15000,0,708953,916,103951,30-34,M,27,2355,1,1.5,1,0
15592877,Male,32,18000,0,708958,916,103952,30-34,M,28,9502,3,3.159999967,1,0
15595917,Male,30,80000,0,708979,916,103955,30-34,M,31,1224,0,0,1,0
15722758,Male,30,17000,0,709023,916,103962,30-34,M,7,735,0,0,1,0
15675185,Male,31,58000,0,709038,916,103965,30-34,M,16,5117,0,0,1,0
15801247,Male,33,31000,0,709040,916,103965,30-34,M,16,5120,0,0,1,0
15725660,Male,30,87000,0,709115,916,103978,30-34,M,30,2305,1,0.569999993,1,0
15783029,Male,30,89000,0,734215,936,108655,30-34,M,15,13659,3,3.840000033,1,0
15699247,Male,31,76000,0,734266,936,108664,30-34,M,25,605,0,0,1,0
15570932,Male,34,115000,0,734272,936,108665,30-34,M,26,1030,0,0,1,0
15603319,Male,33,43000,0,734290,936,108668,30-34,M,29,5374,1,1.039999962,4,0
15814816,Male,31,66000,0,734314,936,108672,30-34,M,36,962,0,0,1,0
15667742,Male,34,43000,0,736869,936,109448,30-34,M,2,2338,1,0.239999995,1,0
15690188,Female,33,28000,0,710617,916,104228,30-34,F,15,5014,1,1.190000057,1,0
15591915,Female,33,51000,0,710623,916,104229,30-34,F,16,38726,7,9.220000267,1,0
15793813,Female,31,89000,0,710628,916,104230,30-34,F,18,1473,0,0,1,0
15789109,Female,32,117000,0,710682,916,104239,30-34,F,27,1186,0,0,1,0
15595324,Female,31,68000,0,710763,916,104252,30-34,F,15,5369,1,1.50999999,1,0
15782530,Female,33,113000,0,710867,916,104270,30-34,F,63,1185,0,0,1,0
15798659,Female,30,62000,0,710880,916,104272,30-34,F,65,13019,5,6.960000038,1,0
15636428,Female,30,116000,0,734794,936,108752,30-34,F,16,4010,0,0,1,0
15584545,Female,32,86000,0,734800,936,108753,30-34,F,18,1635,0,0,1,0
15622833,Female,34,25000,0,734803,936,108753,30-34,F,18,1631,0,0,1,0
15610140,Female,31,15000,0,734852,936,108761,30-34,F,26,13479,3,4.25,1,0
15697574,Female,33,69000,0,734866,936,108764,30-34,F,29,11803,3,4.440000057,1,0
15581654,Female,34,43000,0,734901,936,108770,30-34,F,64,1554,0,0,1,0
15644296,Female,34,72000,0,779622,936,116061,30-34,F,15,8613,1,0.889999986,2,0
15673367,Female,31,34000,0,779645,936,116065,30-34,F,16,27289,3,4.429999828,1,0
15774727,Female,31,71000,0,779715,936,116077,30-34,F,29,20409,4,3.829999924,1,0
15759066,Female,33,60000,0,779716,936,116077,30-34,F,29,8044,1,1.110000014,1,0
15571059,Female,33,41000,0,779738,936,116081,30-34,F,28,15645,4,5.349999905,1,0
15738448,Female,30,79000,0,779918,936,116111,30-34,F,18,8469,2,3.089999914,1,0
15727311,Female,35,65000,0,710961,916,104285,35-39,F,25,2508,1,1.220000029,1,0
15671655,Female,35,23000,0,711217,916,104328,35-39,F,20,2783,1,1.600000024,1,0
15709441,Female,35,44000,0,734999,936,108786,35-39,F,27,20277,6,8.050000072,1,0
15710257,Female,35,25000,0,735033,936,108792,35-39,F,36,652,0,0,0,0
15697997,Female,38,80000,0,735048,936,108794,35-39,F,64,1393,0,0,1,0
15665416,Female,39,71000,0,747968,936,110962,35-39,F,21,512,0,0,0,0
15660200,Female,37,71000,0,747991,936,110966,35-39,F,25,4868,2,2.420000076,1,0
15811613,Female,36,75000,0,748000,936,110967,35-39,F,26,6585,2,2.950000048,1,0
15697020,Female,39,61000,0,748014,936,110970,35-39,F,29,11182,4,4.449999809,1,0
15619087,Female,36,50000,0,748045,936,110975,35-39,F,63,1238,0,0,1,0
15599533,Female,37,33000,0,778722,936,115898,35-39,F,64,41785,14,19.10000038,1,0
15614827,Female,35,71000,0,778756,936,115904,35-39,F,63,5602,1,1.580000043,1,0
15609653,Female,35,47000,0,778964,936,115938,35-39,F,27,112460,25,41.29000068,1,0
15575002,Female,35,60000,0,779106,936,115962,35-39,F,30,14670,7,9.410000324,1,0
15619407,Female,38,112000,0,779573,936,116053,35-39,F,10,89527,24,32.28999996,1,0
15753874,Female,37,80000,0,779608,936,116059,35-39,F,15,2459,0,0,1,0
15638003,Female,35,50000,0,779631,936,116063,35-39,F,16,9730,1,1.379999995,1,0
15811177,Female,35,77000,0,781195,936,116345,35-39,F,63,18234,6,7.810000062,1,0
15767681,Female,35,72000,0,781207,936,116347,35-39,F,64,2755,0,0,1,0
15631070,Female,37,62000,0,781303,936,116363,35-39,F,27,73676,20,28.5,1,0
15566689,Female,35,57000,0,781305,936,116363,35-39,F,27,18421,7,10.07999992,1,0
15725794,Female,36,63000,0,781354,936,116371,35-39,F,10,6424,1,0.529999971,1,0
15652400,Female,38,50000,0,782706,936,116597,35-39,F,30,761,0,0,1,0
15733964,Female,38,50000,0,782754,936,116605,35-39,F,26,6532,1,1.610000014,1,0
15747097,Female,39,79000,0,951294,936,123643,35-39,F,15,699,0,0,1,0
15601550,Female,36,54000,0,951305,936,123644,35-39,F,10,1104,0,0,1,0
